Folder,PDF Name,Issue Date,PDF Link
Master Circulars,Master Circular for Debenture Trustees (DTs),"May 16, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715922862264.pdf
Master Circulars,Master Circular for Credit Rating Agencies (CRAs),"May 16, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/sep-2024/1727347354955.pdf
Master Circulars,Master Circular for Real Estate Investment Trusts (REITs) (Updated),"May 15, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/nov-2024/1731580754747.pdf
Master Circulars,Master Circular for Infrastructure Investment Trusts (InvITs) (Updated),"May 15, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/nov-2024/1731580625738.pdf
Master Circulars,Master Circular for Infrastructure Investment Trusts (InvITs),"May 15, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715773721724.pdf
Master Circulars,Master Circular for Real Estate Investment Trusts (REITs),"May 15, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715773328683.pdf
Gazette Notification,Gazette Notification for renewal of recognition of AMC Repo Clearing Limited,"Jan 10, 2025",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2025/1736503211116.pdf
Gazette Notification,"Notification under Securities and Exchange Board of India (Certification of Associated Persons in the Securities Markets) Regulations, 2007 – Investment Adviser Certifications Examination","Jan 06, 2025",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2025/1736144858077.pdf
Gazette Notification,Gazette Notification for withdrawal of recognition granted to the Indian Commodity Exchange Limited (ICEX),"Dec 27, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/dec-2024/1735294161380.pdf
Gazette Notification,Gazette Notification for renewal of recognition of Metropolitan Stock Exchange of India Ltd.,"Sep 16, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2025/1738563002111.pdf
Gazette Notification,"Commencement notification of the Securities and Exchange Board of India (Prohibition of Insider Trading) (Amendment) Regulations, 2022","Jul 25, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/jul-2024/1722247602960.pdf
Gazette Notification,"Commencement notification for certain provisions of the Securities and Exchange Board of India (Alternative Investment Funds) (Second Amendment) Regulations, 2023","May 10, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715590505142.pdf
Gazette Notification,"Notification of NISM Series-XIX-C: Alternative Investment Fund Managers Certification Examination under Securities and Exchange Board of India (Certification of Associated Persons in the Securities Markets) Regulations, 2007","May 10, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715590393444.pdf
Gazette Notification,"Notification for List of commodities under SCRA, 1956 dated March 01, 2024","Mar 01, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2024/1709616112434.pdf
Gazette Notification,"Notification for Option in Goods dated March 01, 2024","Mar 01, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2024/1709612269702.pdf
Gazette Notification,Gazette Notification for renewal of recognition of AMC Repo Clearing Ltd. (ARCL),"Jan 16, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2024/1705395390256.pdf
Gazette Notification,Gazette Notification for renewal of recognition of Indian Clearing Corporation Ltd. (ICCL),"Sep 28, 2023",https://www.sebi.gov.in/sebi_data/attachdocs/sep-2023/1695890324196.pdf
Gazette Notification,Gazette Notification for renewal of recognition of NSE Clearing Ltd. (NCL),"Sep 28, 2023",https://www.sebi.gov.in/sebi_data/attachdocs/sep-2023/1695890286829.pdf
Gazette Notification,Gazette Notification - Metropolitan Stock Exchange of India Limited,"Sep 15, 2023",https://www.sebi.gov.in/sebi_data/attachdocs/sep-2023/1695028892031.pdf
Gazette Notification,"Commencement notification for certain provisions under the Securities and Exchange Board of India (Mutual Funds) (Amendment)Regulations, 2023","Jul 26, 2023",https://www.sebi.gov.in/sebi_data/attachdocs/jul-2023/1690522178005.pdf
Gazette Notification,"Commencement notification for Execution Only Platforms under the Securities and Exchange Board of India (Stock Brokers) Regulations, 1992","Jun 21, 2023",https://www.sebi.gov.in/sebi_data/attachdocs/jun-2023/1687516220928.pdf
Gazette Notification,State Gazette notification - AMC Repo Clearing Limited,"Mar 14, 2023",https://www.sebi.gov.in/sebi_data/attachdocs/nov-2023/1699532119355.pdf
Gazette Notification,Gazette notification - AMC Repo Clearing Limited,"Mar 14, 2023",https://www.sebi.gov.in/sebi_data/attachdocs/mar-2023/1678946250815.pdf
